Id,SalePrice
1752,262025.28058767028
1753,137742.1524185954
1754,215784.49641164794
1755,228873.52933649896
1756,162649.4944940869
1757,120172.90861559074
1758,84807.01116905647
1759,128001.2479701112
1760,110173.69714744003
1761,143414.5891072289
1762,192245.40189900584
1763,121762.35879947005
1764,178076.11468738547
1765,446395.56325891404
1766,255711.41357036293
1767,183122.87406362398
1768,99550.6650601914
1769,178704.41393071797
1770,154111.10616623017
1771,192230.35426411335
1772,129103.14006698178
1773,95087.50664683737
1774,360587.27378235286
1775,141442.5554687726
1776,131059.17556468958
1777,94178.63340219225
1778,85904.01533381773
1779,280574.9651359023
1780,197437.23409598094
1781,107429.122834317
1782,132281.2414789671
1783,150552.07919461722
1784,117403.85600187443
1785,195221.61771659937
1786,67601.07767834087
1787,132662.98281597882
1788,258246.3832569189
1789,321322.77019555913
1790,64823.84817625908
1791,129015.43330543656
1792,392559.9239430318
1793,142746.4986187868
1794,98046.91109754602
1795,107476.13518191913
1796,108885.69838683725
1797,128148.48634505845
1798,244768.20640255325
1799,165752.39233108945
1800,383561.21518484456
1801,103899.32879988501
1802,143094.49943510574
1803,187507.93682330672
1804,170635.47380975488
1805,168645.36562726047
1806,147117.9884036448
1807,150609.04221695854
1808,175118.79887117888
1809,142310.98811550482
1810,160332.73631262584
1811,171794.9812360672
1812,206226.04179147605
1813,270609.21743943467
1814,222690.08525044055
1815,170747.30890216955
1816,138598.09159928863
1817,105031.43588227355
1818,116383.55579258327
1819,184039.91677815304
1820,114713.73292419955
1821,126557.20879325616
1822,114459.96601768253
1823,101090.12413979444
1824,137434.3886387346
1825,144987.06740743585
1826,121700.82448041294
1827,68023.39740702143
1828,101202.70233196407
1829,119392.68620213233
1830,216943.99354763076
1831,137155.14368251082
1832,232151.00442783
1833,166781.5074352407
1834,132555.0990643971
1835,122700.76247871004
1836,190076.66554589503
1837,166020.28196762133
1838,395860.7225546228
1839,213340.62962074103
1840,90610.45721167061
1841,171957.62216617764
1842,204596.37393610083
1843,90955.74726552927
1844,179054.98471292347
1845,258455.36697216722
1846,167662.10470273456
1847,203009.44548752476
1848,126819.98229678067
1849,318332.86751894397
1850,155103.6579088833
1851,121659.32086028595
1852,178989.98217518907
1853,141024.5540260777
1854,167843.19178192446
1855,124832.98937358429
1856,257423.79086499594
1857,268919.4616062974
1858,118147.34755049544
1859,132836.4320681906
1860,218143.91982952182
1861,230109.2877173607
1862,370275.2368554231
1863,220860.16580290612
1864,114378.54499030937
1865,139113.58718476215
1866,168598.67398976706
1867,178892.06424027338
1868,134024.23747743317
1869,282476.09713916876
1870,134517.7418351446
1871,138877.12062990098
1872,111395.57753594773
1873,198471.6185668454
1874,218697.3045016717
1875,164024.20489616835
1876,330971.9687734536
1877,175592.63931694426
1878,121757.41677539654
1879,165973.8461042333
1880,145943.69213794736
1881,127311.61330683809
1882,182479.8083927065
1883,395447.2310161389
1884,170995.6524559
1885,107003.61841743559
1886,112728.73646679532
1887,155533.9453122457
1888,120784.33932903263
1889,195235.45630776993
1890,119734.38105264964
1891,139717.577871108
1892,209751.50625934094
1893,175056.83088076062
1894,99266.50544174455
1895,178179.21708851546
1896,142566.50898855808
1897,135905.3258513631
1898,289904.4656587866
1899,143184.39203256991
1900,208605.37218445775
1901,158242.6099013637
1902,153659.69974822196
1903,217033.2933856762
1904,219394.20193407888
1905,114158.97884293598
1906,194927.22126751073
1907,119601.25892044912
1908,205155.65185779292
1909,120951.45164744741
1910,252271.98958677656
1911,135380.26120958186
1912,132762.6838177116
