Id,SalePrice
1752,261625.38353699187
1753,139623.53459509043
1754,215340.7036972822
1755,250358.66862551027
1756,148120.13676330028
1757,130164.38262937058
1758,83739.10889483217
1759,159310.93323108912
1760,95780.11224205399
1761,139493.93503762878
1762,204780.1245234264
1763,117893.55790429111
1764,186379.53848014202
1765,420344.6594864964
1766,257945.01801881447
1767,176166.8709925435
1768,90311.49437047649
1769,167570.7305547206
1770,156917.21721577688
1771,194744.1564949837
1772,115769.39916962947
1773,94825.42408103388
1774,386924.80167746224
1775,137704.4850479502
1776,134903.54737907395
1777,94467.42269662287
1778,85218.99943481814
1779,273929.60503214074
1780,193588.14068694355
1781,109709.95901786798
1782,122711.1855144738
1783,160816.13186079447
1784,112883.41438199652
1785,200779.01080224267
1786,60065.47816209083
1787,125566.99866455377
1788,273310.04522906756
1789,319607.46784963086
1790,68345.29687204114
1791,136026.23282530546
1792,383027.4821960504
1793,141747.7635159811
1794,92188.13903110093
1795,94402.1439775067
1796,101410.10595566258
1797,128192.62150898614
1798,244323.43764154846
1799,160112.26280858304
1800,390000.0727501552
1801,94590.78871043448
1802,146211.93121490226
1803,199169.82106169278
1804,156654.58384609153
1805,162970.83456706878
1806,142150.05360193722
1807,163129.48424976444
1808,173066.61433753776
1809,124721.06385796893
1810,170859.81214149317
1811,173916.57635011605
1812,155531.91729296523
1813,293699.2321609326
1814,221162.98797222174
1815,181591.21315806435
1816,137416.06000047547
1817,99514.36064559538
1818,111156.67117275207
1819,179331.9237502932
1820,109345.62335091637
1821,125023.88949725058
1822,116292.30630771504
1823,92402.9011115956
1824,138395.01737902258
1825,140418.09775059854
1826,119135.40138188007
1827,81293.4103441961
1828,112210.81380243
1829,112063.09469799887
1830,219660.21500205022
1831,135072.00847873962
1832,227718.97563341592
1833,164247.28835627012
1834,134947.48493046407
1835,125796.38690513399
1836,178659.36915065392
1837,162312.29498774506
1838,420870.26586687285
1839,207752.20935242422
1840,97401.44687227425
1841,183266.00555811494
1842,204414.51927765802
1843,90111.0678754037
1844,200235.95531300525
1845,241385.07998107187
1846,175544.49360618647
1847,194847.41582349513
1848,136559.31811360506
1849,316583.88063197996
1850,166379.19282819988
1851,119514.89843788944
1852,189268.93727579585
1853,150218.9902665398
1854,161147.9357710926
1855,126055.3242101403
1856,265632.7848916465
1857,247212.25752134755
1858,117744.03640115939
1859,127242.18286583063
1860,248938.21582098605
1861,233235.4620836624
1862,388728.04075078835
1863,244352.22236393392
1864,104392.80848172368
1865,129883.73911897096
1866,174362.7708843602
1867,197131.6035133116
1868,142584.75950454123
1869,263179.95425906824
1870,142132.78696884972
1871,147185.69674384192
1872,115589.03694488705
1873,192012.34319905215
1874,215519.88780808807
1875,157499.60424454993
1876,320328.8426698104
1877,183382.34363671753
1878,110523.70375931755
1879,155097.04506633998
1880,171234.92631105144
1881,142582.8202417297
1882,195215.62971224537
1883,402112.58707796753
1884,168573.2552000107
1885,119684.29181841158
1886,111357.90300473693
1887,165241.21064551652
1888,115516.33277831276
1889,195570.41851230123
1890,122331.31800203226
1891,146020.94739927363
1892,195150.9715723941
1893,179244.3867626417
1894,100974.21885828543
1895,182233.12402520678
1896,143635.49585413127
1897,130257.19034034669
1898,302175.27698069916
1899,142997.17087197132
1900,184171.54639943328
1901,159936.78895086586
1902,161045.17646778986
1903,187908.916635463
1904,239235.65339880978
1905,105452.28065880781
1906,215538.0796210011
1907,135298.21616331872
1908,209239.31728788716
1909,118653.11691694224
1910,264860.24039759376
1911,128560.31633393232
1912,132445.92397923552
1913,160467.02695881127
1914,177693.85213000196
1915,154592.8898260396
1916,113222.61455384936
1917,306380.9886516895
1918,81295.20273101496
1919,81131.6755933383
1920,123811.12417801263
1921,113159.94265444289
1922,291968.6050634136
1923,180623.17856662718
1924,139790.76173424796
1925,168002.4049754983
1926,185701.88215234585
1927,71598.94859958808
1928,333010.687678429
1929,154242.53624372144
1930,121078.84198408123
1931,326210.657647512
1932,146131.24680235138
1933,128737.16265032595
1934,138833.499307404
1935,127811.05009761071
1936,209763.15218432184
1937,194075.0139650767
1938,387879.40166349465
1939,131484.8157189377
1940,177798.964989232
1941,118240.8953714967
1942,157390.78223147598
1943,113424.35730361592
1944,175105.9817074474
1945,184065.99572397565
1946,143267.2652190347
1947,141762.04276746698
1948,223115.06171546094
1949,138283.9875507052
1950,152383.2544444224
1951,296658.5443689465
1952,166595.80514936813
1953,278509.8240944841
1954,97861.5979056028
1955,94219.76075539141
1956,308474.752356821
1957,157187.2245726067
1958,115879.00433688404
1959,191588.88528633508
1960,94002.72567286759
1961,135741.9730366229
1962,152056.54754391435
1963,106263.41596498029
1964,117699.16910715318
